Course Code,Course Title,Grade,Type,Credits,Prequisites,Corequisites,Special,Caps (Per Class)
ADA1O1,Dramatic Arts,9,Open,1,[],[],[],28
ADA2O1,Dramatic Arts,10,Open,1,[],[],[],34
ADA3M1,Dramatic Arts,11,University/College,1,"[ADA1O1, ADA2O1]",[],[],28
ADD3M1,Dramatic Arts - PRODUCTION,11,University/College,1,"[ADA1O1, ADA2O1]",[],[],35
ADA4M1,Dramatic Arts,12,University/College,1,"[ADA3M1, ADD3M1] ",[],[],28
ADG4M1,Dramatic Arts - ACTING,12,University/College,1,"[ADD3M1, ADA3M1]",[],[],35
AMI1O1,Beginning Instrumental,9,Open,1,[],[],[],28
AMI1O2,Advanced Instrumental Music Performance,9,Open,1,[],[],[],35
AMR1O1,Music Repertoire,9,Open,1,[],[],[],50
AMV1O1,Vocal,9,Open,1,[],[],[],35
AMG2O1,Beginning Guitar,9,Open,1,[],[],[],34
AMI2O1,Instrumental,10,Open,1,"[AMI1O1, AMI1O2, AMR1O1]",[],[],34
AMR2O1,Music Repertoire,10,Open,1,"[AMI1O1, AMV1O1, AMI1O2, AMR1O1] ",[],[],50
AMV2O1,Vocal,10,Open,1,[],[],[],35
AMI3M1,Instrumental Music - Band,10,Open,1," [AMI1O1, AMI2O1,  AMI1O2]",[],[],34
AMR3M1,Music Repertoire,11,University/College,1,"[AMI1O1,  AMI2O1, AMR2O1, AMI1O2, AMV2O1]",[],[],35
AMV3M1,Music - Vocal/Choral,11,University/College,1,"[AMV2O1, AMI1O1, AMI1O2, AMI2O1]",[],[],35
AMI4M1,Instrumental Music Band,12,University/College,1,[AMI3M1],[],[],34
AMR4M1,Music Repertoire,12,University/College,1,"[AMR3M1, AMI3M1, AMV3M1]",[],[],35
AMV4M1,Music - Vocal/Choral,12,University/College,1,[AMV3M1],[],[],35
AVI1O1,Visual Arts - An Introduction to Art,9,Open,1,[],[],[],28
ASM2O1,Media Arts - Conceptual Art,10,Open,1,[],[],[],28
AVI2O1,Visual Arts - Traditional Fine Art,10,Open,1,[],[],[],28
AVI3M1,Visual Arts - Traditional Fine Art,11,University/College,1,[],[],[],35
AVI3O1,Art for the Non-Artist,11,Open,1,"[AVI1O1, AVI2O1]",[],[],35
AWQ3O1,Digital Photography,11,Open,1,"[AVI1O1, AVI2O1, ASM2O1]",[],[],35
AWT3O1,Conceptual Art,11,Open,1,"[AVI1O1, AVI2O1, ASM2O1]",[],[],28
AVI4M1,Visual Arts,12,University/College,1,[AVI3M1],[],[],35
AWM4M1,Portfolio Development,12,University/College,1,"[AVI4M1, AVI3M1]",[],[],35
AWT4M1,Installation Art - Conceptual Art,12,University/College,1,"[AVI4M1, AVI3M1]",[],[],35
BTT1O1,Information and Communication Technology in Business,9,Open,1,[],[],[],28
BBI2O1,Introduction to Business,10,Open,1,[],[],[],28
BAI3E1,Accounting Essentials,11,Workplace,1,[],[],[],30
BDI3C1,Entrepreneurship: The Venture,11,College,1,[],[],[],35
BMI3C1,Introduction to Marketing,11,College,1,[],[],[],35
BAF3M1,Fundamental Accounting Practices,11,University/College,1,[],[],[],30
CLU3M1,Understanding Canadian Law,11,University/College,1,"[CHC2D1, CHC2P1]",[],[],35
BTA3O1,Introduction to Tech Applications in Business,11,Open,1,[],[],[],35
BAN4E1,Accounting for a Small Business,12,Workplace,1,[BAI3E1],[],[],35
BOG4E1,Managing a Small Business,12,Workplace,1,[],[],[],35
BAT4M1,Financial Accounting Principles,12,University/College,1,[BAF3M1],[],[],35
BBB4M1,International Business Fundamentals,12,University/College,1,[],[],[],30
BOH4M1,Organizational Behaviour and Human Resources,12,University/College,1,"[ENG3C1], [ENG3C2, ENG3U1], [ENG3U2, ENG3U1]",[],[],35
