"Dolly,Clementine",SNC2D1,MPM2D1,CHC2D1,CIVCAR,ENG2D1,EMPTY,PAF2O9,BBI2O1,
"Kip,Nata",MCR3U6,SPARE,SCH3U1,ICS4UE,ENG3U1,DCO3OC,SBI3U1,SPH3U1,
"Jobie,Willow",HFN2O1,BBI2O1,ENG2D1,SNC2D1,PAI2O1,EMPTY,CHC2D1,MPM2D1,
"Augustine,Clarice",BTT1O1,ENG1DG,CGC1DG,FSF1DG,EMPTY,MTH1W7,AMI1O1,PPL1O9,
"Merlina,Vonnie",HFN2O1,AVI2O1,AWC2O1,CIVCAR,EMPTY,ENG2DG,CHC2DG,EMPTY,
"Carroll,Florenza",BBI2O1,TGJ2O1,FSF2D1,CIVCAR,SNC2D1,AVI2O1,ENG2D1,CHC2D1,
"Yvette,Steffi",MHF4U1,ENG3U1,SBI3U1,HSP3U1,MCV4U1,SCH3U1,ICS3U6,PAF3O9,
"Hedy,Therine",SCH4U1,SPH4U1,MHF4U1,ADB4M1,PAF4O9,MCV4U1,SPARE,CLN4U1,
"Catina,Auroora",CHY4U1,SBI3U1,MCR3U1,SPH3U1,HSP3U1,EMPTY,ENG3U1,CGG3O1,
"Jorry,Ruthann",SPARE,EMPTY,EMPTY,EMPTY,SPARE,SPARE,SPARE,EMPTY,
"Merrilee,Luisa",CLN4U1,BAF3M1,EMPTY,SCH3U6,EMPTY,ENG4UE,EMPTY,ENG3UE,
"Twyla,Brandi",ENG2D1,EMPTY,EMPTY,MPM2D2,CHC2D1,BAF3M1,ADB2O1,SBI3U6,
"Doro,Petronilla",EMPTY,SPARE,EMPTY,SPARE,SPARE,SPARE,EMPTY,EMPTY,
"Meris,Maren",BBI2O1,MPM2DG,EMPTY,MCR3U6,SPH3U1,ENG2DG,CHC2D1,ICS3U6,
"Ashely,Nani",IDC3O1,EMPTY,HFC3M1,HSB4U1,ENG4C1,EMPTY,SPARE,GLE4O1,
"Vilhelmina,Agretha",MCR3U6,MHF4U1,SBI3U1,PAF3O9,ICS4UE,BMI3C1,SCH3U1,ENG3U1,
"Krissie,Gaynor",AMI1O4,ENG1D1,CGC1P1,AVI1O1,MTH1W1,FSF1D1,GLE1O1,PAI1O1,
