Student Name/Gender/Student No./Gapps Account/Guardian1 Email/Guardian2 Email/Grade/ Course 1/Course 1 Title/Course 1 Credit Value/Course 2/Course 2 Title//Course 2 Credit Value/Course 3/Course 3 Title/Course 3 Credit Value/Course 4/Course 4 Title/Course 4 Credit Value/Course 5/Course 5 Title/Course 5 Credit Value/Course 6/Course 6 Title/Course 6 Credit Value/Course 7/Course 7 Title/Course 7 Credit Value/Course 8/Course 8 Title/Course 8 Credit Value/Course 9/Course 9 Title/Course 9 Credit Value/Course 10/Course 10 Title/Course 10 Credit Value/Course 11/Course 11 Title/Course 11 Credit Value/Total Courses/Alternate Course 1/Alternate Course 1 Title/Alternate Course 1 Credit Value/Alternate Course 2/Alternate Course 2 Title/Alternate Course 2 Credit Value/Alternate Course 3/Alternate Course 3 Title/Alternate Course 3 Credit Value
"Marcellina,Dona"/F/237934404/237934404@gapps.yrdsb.ca///10/AWJ2O1/Visual Arts- Stage Design/1/BBI2O1/Introduction to Business//1/CHC2D1/Canadian History Since World War I/1/CHV2O1/Civics and Citizenship/0.5/ENG2D1/English/1/GLC2O1/Career Studies/0.5/HFN2O1/Food and Nutrition/1/MPM2D1/Principles of Mathematics/1/SNC2D1/Science/1///////9/PPL2O8/Healthy Active Living Education-Female (Alternate)/1//////
"Selle,Loree"/F/341913132/341913132@gapps.yrdsb.ca///9/BTT1O1/Information and Communication Techn/1/CGC1D2/Issues in Canadian Geography//1/ENG1D2/English/1/FSF1D2/Core French/1/MTH1W1/Mathematics/1/PPL1O8/Healthy Active Living-Female/1/SNC1D2/Science/1/TIJ1O1/Exploring Technologies/1//////////8/////////
"Perle,Hesther"/M/333565056/333565056@gapps.yrdsb.ca///9/ADA1O1/Drama/1/CGC1D1/Issues in Canadian Geography//1/ENG1D1/English/1/FSF1D1/Core French/1/ICS2O1/Introduction to Computer Studies/1/MTH1W1/Mathematics/1/PPL1O9/Healthy Active Living-Male/1/SNC1D1/Science/1//////////8/AVI1O1/Visual Arts (Alternate)/1/BTT1O1/Information and Communication Techn (Alternate)/1///
"Kitty,Evita"/M/342231036/342231036@gapps.yrdsb.ca///12/BBB4M1/International Business Fundamentals/1/CPW4U1/Canadian and World Politics//1/HHG4M1/Issues in Human Growth and Development/1/HSB4U1/Challenge and Change in Society/1/PPL4O9/Healthy Active Living Education/1///////////////////5/HFA4U1/Nutrition and Health (Alternate)/1//////
"Tabina,Fiorenze"/M/349696668/349696668@gapps.yrdsb.ca///9/AVI1O1/Visual Arts/1/BTT1O1/Information and Communication Techn//1/CGC1P1/Geography of Canada/1/ENG1P1/English/1/FSF1P1/Core French/1/MTH1W1/Mathematics/1/PAI1O1/Individual & Small Group Activities/1/SNC1P1/Science/1//////////8/AMV1O1/Music - Vocal/Choral (Alternate)/1/ADA1O1/Drama (Alternate)/1///
"Sybil,Romonda"/M/352739076/352739076@gapps.yrdsb.ca///9/AVI1O1/Visual Arts/1/CGC1D1/Issues in Canadian Geography//1/ENG1D1/English/1/FSF1P1/Core French/1/MTH1W1/Mathematics/1/PPL1O9/Healthy Active Living-Male/1/SNC1D2/Science/1/TIJ1O1/Exploring Technologies/1//////////8/ADA1O1/Drama (Alternate)/1/ICS2O1/Introduction to Computer Studies (Alternate)/1///
"Norrie,Verla"/M/240530196/240530196@gapps.yrdsb.ca///9/ADA1O1/Drama/1/BTT1O1/Information and Communication Techn//1/CGC1D1/Issues in Canadian Geography/1/ENG1D1/English/1/FSF1P1/Core French/1/MTH1W1/Mathematics/1/PPL1O9/Healthy Active Living-Male/1/SNC1D1/Science/1//////////8/AVI1O1/Visual Arts (Alternate)/1/HIF1O1/"Individual, Family and Social Living (Alternate)"/1///
"Frederica,Cristi"/F/241808172/241808172@gapps.yrdsb.ca///11/BAF3M1/Financial Accounting Fundamentals/1/CLU3M1/Understanding Canadian Law//1/COP3X#/Co Op Sem 1 or 2 Am or Pm/2/ENG3UE/English/1/HSP3U1/"Introduction to Anthropology, Psychology & Sociology"/1/MCR3U1/Functions/1/PAF3O8/Personal and Fitness Activities-Female/1/////////////7/TDJ3M1/Technological Design (Alternate)/1//////
"Kore,Iolanthe"/F/237015588/237015588@gapps.yrdsb.ca///11/AVI3M1/Visual Arts/1/DCO3OC/Creating Opportunities through Co-o//2/ENG3U1/English/1/MCR3U1/Functions/1/SBI3U1/Biology/1/SCH3U1/Chemistry/1/SPH3U1/Physics/1/////////////7/AWC3O1/Visual Arts- Ceramics (Alternate)/1/AVI4M1/Visual Arts (Alternate)/1///
"Idell,Filippa"/M/236109144/236109144@gapps.yrdsb.ca///11/KENCND/Language and Communication Developm/0/KGLCND/Personal Life Skills//0/KMMCND/Numeracy and Numbers/0/KPFCND/Personal Health and Fitness/0//////////////////////4/////////
"Benny,Manon"/M/351329880/351329880@gapps.yrdsb.ca///12/ALEP2O/ALEP SEM 2 - 1 CREDIT OUT/0/BBB4M1/International Business Fundamentals//1/BMI3CO/"Marketing:  Goods, Services, Events"/1/BOH4M1/Business Leadership:  Management Fu/1/CPW4U1/Canadian and World Politics/1/ENG3U1/English/1/ENG4U1/English/1/IDC4U1/Interdisciplinary Studies/1/MCF3M1/Functions and Applications/1/MDM4U1/Mathematics of Data Management/1////10/CHY4U1/World History: The West and the Wor (Alternate)/1/HHG4M1/Issues in Human Growth and Development (Alternate)/1///
